,USGS-01434000,USGS-01531000,USGS-04235500,USGS-04236500
1903-03-31,0.0,0.0,0.0,80.65770583265281
1903-04-30,0.0,0.0,0.0,127.32386901626882
1903-05-31,0.0,0.0,0.0,101.99728142438401
1903-06-30,0.0,0.0,0.0,92.52246455470082
1903-07-31,0.0,0.0,0.0,98.27644778219522
1903-08-31,0.0,0.0,0.0,94.94638662297602
1903-09-30,0.0,778.8548655129601,0.0,96.47549633894401
1903-10-31,0.0,3497.2438214983686,0.0,107.63233389619202
1903-11-30,0.0,1922.7705172899844,0.0,96.16401102643202
1903-12-31,0.0,664.1433199687681,0.0,80.31224030423041
1904-01-31,0.0,0.0,0.0,82.13018185543682
1904-02-29,0.0,0.0,0.0,69.18088790891521
1904-03-31,0.0,7815.449659392001,0.0,84.68719310269441
1904-04-30,0.0,5648.9277266380805,0.0,99.84520108339201
1904-05-31,0.0,4337.574560962561,0.0,111.51174187929603
1904-06-30,0.0,2616.3350408678402,0.0,97.47224933898241
1904-07-31,0.0,720.4372109936642,0.0,85.13176759418882
1904-08-31,0.0,406.71486760089607,0.0,100.36623106068481
1904-09-30,0.0,227.07279282124804,0.0,95.37113932185602
1904-10-31,5762.195113006081,575.9646596812801,0.0,91.54836503193602
1904-11-30,3145.1521509734403,295.17480887500807,0.0,78.81427911951361
1904-12-31,3695.9148171878405,689.1470955095041,0.0,69.2856602413056
1905-01-31,7619.213912509441,869.3555072209922,0.0,70.69867088624642
1905-02-28,2092.04862621696,0.0,0.0,56.35618808739841
1905-03-31,15834.780614246401,8297.685556853761,0.0,53.368760771942405
1905-04-30,7930.132888089601,2787.7935469824006,0.0,30.449105140377608
1905-05-31,2510.0052819148805,639.3943960473601,0.0,49.35909529451521
1905-06-30,1948.1990455296002,2517.1411272560645,0.0,58.66401108464641
1905-07-31,1260.3828418099201,913.5581047511041,0.0,53.98323634298881
1905-08-31,1541.2859600025602,546.1753370664961,0.0,55.14139536860161
1905-09-30,4982.349157862401,331.36373881958406,0.0,65.19104422410241
1905-10-31,3120.7996629043205,431.3222072893441,0.0,80.90123071334402
1905-11-30,2505.7577549260805,492.2034274621441,0.0,76.01940636088321
1905-12-31,7276.296900280321,2549.9037187630083,0.0,44.95582564945921
1906-01-31,5221.060174632961,2017.0372995947523,0.0,27.070905341952002
1906-02-28,3944.8198987315204,0.0,0.0,24.352488069120003
1906-03-31,7862.172456268801,3223.6181328798725,0.0,27.354073807872005
1906-04-30,14585.724511073282,5129.030423208961,0.0,29.789322614784005
1906-05-31,4235.633913231361,2353.41312026112,0.0,61.19270548531201
1906-06-30,5754.549564426241,2365.4477800627205,0.0,57.62478281472001
1906-07-31,2879.5401299404803,794.5707153715201,0.0,58.89904091136001
1906-08-31,2358.7933211136,855.7351040102401,0.0,67.790530741248
1906-09-30,1190.4402307276803,173.27078429644803,0.0,58.077852360192004
1906-10-31,2798.5539486873604,986.6438858050561,0.0,50.772105939456004
1906-11-30,4713.339115238401,1660.868003160576,0.0,49.384580456448006
1906-12-31,4072.2457083955205,1830.7973995591683,0.0,48.846560371200006
1907-01-31,8605.77284777472,4384.014189373441,0.0,44.986974180710405
1907-02-28,1966.3218273484804,771.0677327001601,0.0,32.105640666009606
1907-03-31,9721.173435033601,3733.2930546892803,0.0,37.548138580992
1907-04-30,5460.054359869441,3215.6610989875207,0.0,12.759571074355202
1907-05-31,4481.140973184,2065.3741567272964,0.0,22.608170319052803
1907-06-30,2765.1400697088,935.5036608599041,0.0,27.682549228339205
1907-07-31,1337.6878330060802,793.2681404282881,0.0,36.817563938918404
1907-08-31,522.7289880883201,142.17888673843203,0.0,33.9037604246016
1907-09-30,1555.5859675315203,181.51098665472003,0.0,44.69814234547201
1907-10-31,4508.32514591232,742.014648096768,0.0,48.614362229145605
1907-11-30,9040.153274496,1963.3485584563202,0.0,47.92626285696001
1907-12-31,11124.273183667201,4096.768097544193,0.0,49.05044166666241
1908-01-31,5852.80902210048,2107.4813076096,0.0,49.73854103884801
1908-02-29,7121.970086353921,2952.0312572160005,0.0,46.23574711541761
1908-03-31,14425.451159362561,9007.02256398336,0.0,74.65453435514881
1908-04-30,9303.216779335682,3257.5700319436805,0.0,88.02008594657282
1908-05-31,9399.210889282562,5282.790900203521,0.0,115.95748679424001
1908-06-30,1692.4979208038403,912.1988961146882,0.0,79.02099209963521
1908-07-31,1029.6005420851202,671.39243269632,0.0,77.94495192913921
1908-08-31,509.13690172416005,291.55025251123203,0.0,80.7228345798144
1908-09-30,303.5565954662401,97.24005119692802,0.0,68.32288745717761
1908-10-31,1132.8154479129603,170.07098063155203,0.0,0.0
1908-11-30,1584.8939037542402,164.32266077337601,0.0,0.0
1908-12-31,1466.52948499968,119.92184531712002,0.0,0.0
1909-01-31,7923.620013373441,2000.1038253327363,0.0,0.0
1909-02-28,12875.670145382403,4211.28142516224,0.0,0.0
1909-03-31,8094.370598323201,2718.27568859904,0.0,0.0
1909-04-30,9481.329744399362,4516.25386295808,0.0,0.0
1909-05-31,9852.28043475456,5413.784632538113,0.0,0.0
1909-06-30,3410.7641720064007,2154.2890550261764,0.0,0.0
1909-07-31,906.2806751769601,241.57101827635202,0.0,0.0
